,node1,node2,gender1,gender2,grt,score,biscore
88,185,480,2,2,1,[0.86195195],1
89,231,236,1,1,0,[0.75143576],0
90,332,398,1,1,1,[0.84025913],1
91,418,590,1,1,1,[0.7810324],1
92,147,356,1,1,1,[0.8684052],1
93,73,293,2,2,1,[0.80022115],1
94,140,394,2,2,1,[0.884114],1
95,306,394,2,2,1,[0.89084774],1
96,447,633,2,2,0,[0.6641714],0
97,146,582,2,2,1,[0.87404734],1
98,121,407,2,2,1,[0.8994207],1
99,267,519,1,1,1,[0.79792047],1
100,550,763,1,2,0,[0.67132264],0
101,441,1003,2,2,0,[0.6027183],0
102,343,452,2,1,1,[0.8615786],1
103,36,358,2,2,1,[0.84423774],1
104,853,910,1,2,0,[0.584212],0
105,42,222,1,1,1,[0.79656196],1
106,596,643,1,1,1,[0.8418877],1
107,116,544,1,1,1,[0.78900754],1
108,176,370,2,2,1,[0.871342],1
109,148,429,1,1,1,[0.85181564],1
110,72,519,2,1,1,[0.8393124],1
111,158,356,2,1,1,[0.89935994],1
112,294,480,2,2,1,[0.80487293],1
113,365,401,1,1,1,[0.8409358],1
114,15,656,2,1,1,[0.87519324],1
115,104,316,1,1,1,[0.8313372],1
116,170,317,2,1,1,[0.87009096],1
117,153,318,1,1,1,[0.8324149],1
118,113,486,2,1,0,[0.8335082],1
119,179,278,1,1,1,[0.8443241],1
120,218,798,1,1,1,[0.80301577],1
121,675,735,2,1,0,[0.6879657],0
122,414,487,2,2,0,[0.77146226],1
123,436,883,2,2,1,[0.74307394],0
124,121,205,2,2,1,[0.86501163],1
125,51,750,1,2,0,[0.8664981],1
126,55,335,2,2,1,[0.77649486],1
127,13,274,2,2,1,[0.81231046],1
128,127,135,2,2,1,[0.8845557],1
129,41,544,1,1,0,[0.7774806],1
130,276,691,1,2,0,[0.7135595],0
131,488,787,2,1,0,[0.75809294],0
132,136,845,1,1,0,[0.6656995],0
133,286,477,1,2,0,[0.6874408],0
134,308,834,2,1,0,[0.7827336],1
135,366,466,2,1,0,[0.7634416],0
136,1,940,2,2,1,[0.69757086],0
137,207,795,1,2,0,[0.728485],0
138,632,1021,1,2,0,[0.5358972],0
139,458,746,1,1,1,[0.83876735],1
140,235,523,2,2,0,[0.8733662],1
141,128,487,2,2,1,[0.8233763],1
142,0,1009,1,1,0,[0.5754787],0
143,430,531,2,2,0,[0.74211115],0
144,291,349,1,2,1,[0.87684697],1
145,212,317,1,1,1,[0.8442918],1
146,296,388,2,2,1,[0.733251],0
147,41,316,1,1,1,[0.8322281],1
148,148,232,1,1,1,[0.8188958],1
149,779,997,2,2,0,[0.6133013],0
150,401,471,1,1,1,[0.8494097],1
151,683,769,2,1,1,[0.6907431],0
152,166,551,2,1,0,[0.7471071],0
153,109,306,1,2,0,[0.85261387],1
154,45,528,1,1,1,[0.8447098],1
155,66,519,2,1,1,[0.8585088],1
156,201,620,1,1,1,[0.81537557],1
157,158,329,2,1,1,[0.8727827],1
158,198,468,2,2,1,[0.86949766],1
159,184,415,1,2,0,[0.87742275],1
160,7,222,1,1,1,[0.79586244],1
161,320,695,2,2,0,[0.7313661],0
162,100,121,2,2,1,[0.80038744],1
163,458,921,1,1,0,[0.81693566],1
164,499,562,2,1,1,[0.58160174],0
165,96,205,2,2,1,[0.82656825],1
166,617,913,2,2,1,[0.6941412],0
167,153,419,1,1,1,[0.8319132],1
168,295,318,1,1,0,[0.77583635],1
169,212,725,1,1,1,[0.8530115],1
170,117,682,2,2,1,[0.87775356],1
171,241,697,1,1,0,[0.714284],0
172,20,270,1,2,1,[0.8434099],1
173,87,174,2,2,1,[0.8228521],1
174,408,481,2,2,1,[0.69808066],0
175,185,419,2,1,1,[0.8458731],1
176,47,232,1,1,1,[0.8047325],1
177,323,401,1,1,0,[0.7767184],1
178,578,876,2,2,0,[0.6902277],0
179,622,958,2,1,0,[0.63514197],0
180,22,195,1,1,1,[0.7749931],1
181,0,674,1,2,0,[0.6187491],0
182,542,812,1,2,1,[0.80797225],1
183,0,203,1,2,1,[0.7386641],0
184,897,1023,1,1,0,[0.60398746],0
185,278,494,1,1,1,[0.88390255],1
186,204,407,1,2,1,[0.88150084],1
187,243,380,1,2,1,[0.8184778],1
188,30,99,2,1,1,[0.75881803],0
189,121,307,2,2,1,[0.8861911],1
190,220,250,2,2,1,[0.8159763],1
191,179,451,1,1,1,[0.86098295],1
192,51,109,1,1,1,[0.7734293],1
193,408,684,2,1,1,[0.63718724],0
194,220,570,2,1,1,[0.80000705],1
195,131,235,2,2,1,[0.7878968],1
196,14,415,1,2,1,[0.86902267],1
197,243,245,1,1,1,[0.80743814],1
198,258,1022,2,2,0,[0.61206865],0
199,176,582,2,2,1,[0.87166],1
200,490,571,1,1,1,[0.8197471],1
201,128,688,2,2,0,[0.7377231],0
202,81,150,1,1,1,[0.791891],1
203,199,704,1,2,0,[0.79355955],1
204,151,712,2,2,0,[0.7623781],0
205,146,170,2,2,1,[0.85912526],1
206,114,253,1,1,1,[0.8470842],1
207,396,861,2,2,0,[0.63920313],0
208,103,574,1,2,1,[0.8632852],1
209,520,713,2,2,1,[0.7479823],0
210,332,338,1,1,1,[0.8318857],1
211,347,535,1,1,1,[0.80681443],1
212,38,125,2,1,1,[0.73270905],0
213,101,377,1,1,1,[0.8378629],1
214,583,747,2,2,0,[0.7958719],1
215,255,560,2,2,1,[0.8792164],1
216,188,1000,2,2,0,[0.7374383],0
217,100,307,2,2,1,[0.83118933],1
218,246,786,2,1,0,[0.6658401],0
219,467,714,2,2,0,[0.67140263],0
220,617,630,2,2,1,[0.7173338],0
221,30,401,2,1,0,[0.81111246],1
222,426,468,2,2,1,[0.8978522],1
223,267,405,1,1,0,[0.822701],1
224,291,424,1,1,1,[0.8377341],1
225,118,129,2,2,0,[0.8082898],1
226,229,425,1,1,1,[0.8511991],1
227,174,573,2,2,0,[0.6863625],0
228,293,600,2,2,1,[0.80640966],1
229,119,769,2,1,0,[0.74940735],0
230,89,430,2,2,0,[0.7861246],1
231,170,303,2,2,1,[0.9002162],1
232,663,679,1,2,0,[0.5762607],0
233,130,560,1,2,0,[0.79990184],1
234,8,316,2,1,1,[0.8699666],1
235,816,827,2,2,0,[0.6389216],0
236,330,619,1,1,1,[0.85694677],1
237,214,328,1,1,1,[0.8426845],1
238,436,1040,2,2,0,[0.69731796],0
239,223,630,1,2,0,[0.7282972],0
240,59,493,1,2,0,[0.7470444],0
241,693,970,1,2,0,[0.5973696],0
242,294,503,2,2,1,[0.7803796],1
243,164,167,2,1,0,[0.7365313],0
244,454,485,2,1,1,[0.74186903],0
245,144,1033,2,2,0,[0.5710124],0
246,344,1019,2,2,0,[0.6720732],0
247,11,291,2,1,0,[0.858884],1
248,61,960,1,1,0,[0.72472906],0
249,230,658,2,2,1,[0.8601526],1
250,308,827,2,2,1,[0.7676101],0
251,304,779,2,2,0,[0.5917379],0
252,0,275,1,1,1,[0.7644184],0
253,55,249,2,2,1,[0.74586517],0
254,82,508,1,1,0,[0.8145772],1
255,321,336,2,2,1,[0.7336857],0
256,481,511,2,1,1,[0.6705206],0
257,810,905,2,1,0,[0.69596416],0
258,132,195,1,1,1,[0.7877442],1
259,186,882,2,2,0,[0.7377721],0
260,241,419,1,1,1,[0.7945443],1
261,502,568,1,2,0,[0.60740286],0
262,170,214,2,1,1,[0.85743964],1
263,224,872,2,1,1,[0.76857114],0
264,330,929,1,2,0,[0.71316874],0
265,464,859,2,2,1,[0.74020547],0
266,170,386,2,1,1,[0.88115287],1
267,444,601,2,2,1,[0.8985185],1
268,232,266,1,1,1,[0.84657854],1
269,329,762,1,2,0,[0.7572087],0
270,934,1023,1,1,0,[0.5407051],0
271,703,728,2,2,0,[0.6750253],0
272,256,739,2,2,0,[0.7635101],0
273,240,284,2,2,1,[0.8829192],1
274,205,938,2,2,0,[0.74166316],0
275,801,886,2,2,0,[0.61990803],0
276,811,969,2,2,0,[0.60483164],0
277,380,539,2,1,0,[0.76235706],0
278,10,174,2,2,1,[0.7898512],1
279,504,902,2,2,0,[0.6542044],0
280,124,873,2,2,0,[0.6675498],0
281,708,1002,2,2,1,[0.5179253],0
282,377,501,1,1,1,[0.8805472],1
283,203,295,2,1,0,[0.7446752],0
284,410,704,2,2,1,[0.748188],0
285,236,611,1,2,1,[0.6551949],0
286,48,170,2,2,1,[0.8627204],1
287,612,714,1,2,0,[0.7183164],0
288,283,634,1,2,0,[0.76382357],0
289,278,656,1,1,1,[0.8772053],1
290,155,226,2,2,0,[0.7596703],0
291,173,540,1,1,1,[0.63825715],0
292,425,725,1,1,1,[0.86548287],1
293,493,919,2,2,0,[0.73233926],0
294,490,926,1,2,0,[0.7172676],0
295,205,266,2,1,1,[0.8514199],1
296,767,1026,2,2,0,[0.55220103],0
297,494,692,1,1,0,[0.767715],0
298,47,382,1,2,1,[0.86201894],1
299,273,665,2,2,0,[0.7899994],1
300,864,868,2,2,0,[0.6128671],0
301,179,426,1,2,1,[0.86729443],1
302,289,705,1,2,1,[0.8940757],1
303,139,671,1,2,1,[0.83600026],1
304,519,544,1,1,1,[0.7662633],0
305,392,736,2,2,0,[0.6998111],0
306,9,22,2,1,1,[0.69972473],0
307,94,847,1,2,0,[0.7549309],0
308,69,402,1,2,0,[0.7423134],0
309,627,761,2,2,0,[0.75866675],0
310,140,415,2,2,1,[0.8877333],1
311,8,653,2,2,1,[0.90020096],1
312,135,284,2,2,1,[0.86372375],1
313,312,558,1,2,1,[0.750957],0
314,474,612,1,1,0,[0.7539476],0
315,91,1049,2,1,0,[0.6595761],0
316,294,585,2,2,1,[0.66263145],0
317,125,741,1,2,0,[0.8148156],1
318,11,115,2,2,1,[0.8551387],1
319,198,804,2,1,0,[0.7577067],0
320,649,884,2,2,1,[0.68263924],0
321,403,457,2,2,1,[0.7251842],0
322,264,274,2,2,1,[0.7607545],0
323,19,789,2,2,0,[0.71144605],0
324,86,547,1,1,0,[0.6624828],0
325,477,478,2,2,0,[0.6081602],0
326,482,904,2,1,0,[0.6696809],0
327,316,528,1,1,1,[0.87915266],1
328,734,986,1,2,1,[0.4808216],0
329,454,756,2,2,1,[0.6813006],0
330,170,204,2,1,1,[0.83855236],1
331,708,1043,2,1,0,[0.55071765],0
332,359,741,2,2,1,[0.8511782],1
333,113,747,2,2,0,[0.7831619],1
334,117,176,2,2,1,[0.81303906],1
335,67,405,1,1,0,[0.80518323],1
336,57,814,2,2,1,[0.7235992],0
337,3,107,1,1,1,[0.8022749],1
338,183,289,2,1,0,[0.8274148],1
339,234,631,1,1,0,[0.6940314],0
340,382,925,2,1,0,[0.74166214],0
341,16,561,2,2,0,[0.7809616],1
342,686,736,1,2,0,[0.69680613],0
343,706,967,2,2,0,[0.6974075],0
344,94,387,1,1,0,[0.6949993],0
345,127,682,2,2,1,[0.902477],1
346,67,236,1,1,0,[0.7172694],0
347,133,653,2,2,1,[0.9094751],1
348,202,274,2,2,1,[0.80071473],1
349,616,686,1,1,0,[0.67647517],0
350,256,306,2,2,1,[0.86338186],1
351,959,1017,2,1,1,[0.5479297],0
352,66,209,2,2,1,[0.879393],1
353,333,736,2,2,0,[0.7698624],1
354,20,282,1,1,0,[0.71444046],0
355,17,77,2,1,0,[0.71420586],0
356,527,1048,1,2,0,[0.5040593],0
357,89,320,2,2,1,[0.7599733],0
358,511,760,1,1,0,[0.55229694],0
359,493,815,2,2,1,[0.7203078],0
360,38,498,2,2,0,[0.79578954],1
361,253,263,1,2,1,[0.86227334],1
362,183,665,2,2,1,[0.7788391],1
363,41,975,1,2,0,[0.61537176],0
364,742,880,1,2,1,[0.6440387],0
365,535,961,1,2,0,[0.71229845],0
366,399,597,2,1,1,[0.86457944],1
367,40,199,1,1,1,[0.78009135],1
368,619,650,1,2,0,[0.8034521],1
369,400,483,2,2,0,[0.78666073],1
370,12,308,1,2,1,[0.8552639],1
371,84,690,1,2,0,[0.847366],1
372,104,298,1,1,1,[0.812657],1
373,50,111,1,2,0,[0.7324378],0
374,103,880,1,2,0,[0.75281584],0
375,64,492,1,2,0,[0.7427532],0
376,205,425,2,1,1,[0.87343305],1
377,41,798,1,1,0,[0.76658934],0
378,400,909,2,2,0,[0.69479406],0
379,133,169,2,2,1,[0.83361936],1
380,327,674,2,2,1,[0.6441198],0
381,249,818,2,2,1,[0.66749495],0
382,972,1006,2,2,0,[0.5159487],0
383,166,663,2,1,0,[0.75906557],0
384,194,377,2,1,0,[0.88550085],1
385,248,380,2,2,1,[0.83937216],1
386,495,838,1,2,0,[0.5572811],0
387,662,996,1,2,0,[0.64985484],0
388,239,311,1,1,0,[0.7551555],0
389,27,546,1,1,1,[0.8086891],1
390,88,487,1,2,1,[0.7844813],1
391,197,318,1,1,1,[0.8291006],1
392,136,652,1,1,0,[0.702672],0
393,80,262,1,1,1,[0.82123286],1
394,10,820,2,1,1,[0.7995129],1
395,7,262,1,1,1,[0.80520797],1
396,331,742,1,1,1,[0.74332196],0
397,467,982,2,2,0,[0.5776186],0
398,164,611,2,2,1,[0.67636514],0
399,175,595,2,2,1,[0.7955922],1
400,109,669,1,1,0,[0.78601885],1
401,217,705,1,2,1,[0.88670963],1
402,109,256,1,2,1,[0.8225407],1
403,9,349,2,2,1,[0.8363705],1
404,732,798,1,1,0,[0.67732304],0
405,415,511,2,1,0,[0.7724662],1
406,69,429,1,1,1,[0.8275374],1
407,574,738,2,1,0,[0.7757903],1
408,81,316,1,1,1,[0.84321356],1
409,167,419,1,1,1,[0.80327064],1
410,185,594,2,2,1,[0.81206983],1
411,0,461,1,2,1,[0.78903705],1
412,61,1043,1,1,0,[0.67109734],0
413,275,452,1,1,1,[0.845439],1
414,474,668,1,1,0,[0.7414874],0
415,126,262,1,1,1,[0.82069695],1
416,1036,1046,1,1,0,[0.5249467],0
417,14,39,1,1,1,[0.72822016],0
418,461,604,2,2,1,[0.8827516],1
419,78,85,1,2,1,[0.80035746],1
420,376,416,2,1,1,[0.85389006],1
421,17,293,2,2,1,[0.738747],0
422,434,736,2,2,0,[0.7290033],0
423,194,457,2,2,0,[0.8067211],1
424,737,917,2,2,0,[0.5728511],0
425,0,424,1,1,1,[0.7727059],1
426,102,912,2,2,0,[0.88211477],1
427,192,267,1,1,1,[0.7984188],1
428,526,725,1,1,1,[0.86990863],1
429,504,879,2,1,0,[0.78715897],1
430,280,714,2,2,1,[0.7120629],0
431,491,529,2,2,0,[0.7742182],1
432,7,702,1,2,0,[0.6708286],0
433,402,823,2,1,0,[0.71201515],0
434,273,380,2,2,1,[0.83255285],1
435,110,673,2,2,1,[0.70701915],0
436,423,1031,2,1,0,[0.56940794],0
437,19,1023,2,1,0,[0.6543915],0
438,1,377,2,1,1,[0.823537],1
439,102,461,2,2,1,[0.8786838],1
440,232,471,1,1,1,[0.86655384],1
441,137,361,2,2,1,[0.7603646],0
442,251,444,2,2,1,[0.89834374],1
443,584,1035,1,2,0,[0.47172126],0
444,432,651,1,2,0,[0.64349794],0
445,381,496,2,2,1,[0.7412593],0
446,473,574,1,2,0,[0.77155256],1
447,418,601,1,2,0,[0.8470318],1
448,452,656,1,1,1,[0.86887026],1
449,391,883,2,2,1,[0.74504673],0
450,217,509,1,1,1,[0.8433614],1
451,121,349,2,2,1,[0.8830162],1
452,145,704,2,2,1,[0.7005131],0
453,505,617,2,2,0,[0.7067302],0
454,595,692,2,1,0,[0.7036646],0
455,255,627,2,2,0,[0.87652135],1
456,81,133,1,2,1,[0.83718467],1
457,117,468,2,2,1,[0.8819062],1
458,243,737,1,2,0,[0.67216843],0
459,97,104,1,1,1,[0.7803718],1
460,81,291,1,1,1,[0.8340568],1
461,79,429,1,1,0,[0.78508663],1
462,259,416,2,1,0,[0.85361755],1
463,313,895,1,1,1,[0.701877],0
464,156,514,1,2,1,[0.8074986],1
465,220,589,2,1,0,[0.69201964],0
466,38,761,2,2,0,[0.6890437],0
467,186,945,2,2,1,[0.7176992],0
468,648,969,2,2,0,[0.6553651],0
469,652,768,1,2,1,[0.6455542],0
470,75,127,2,2,1,[0.8495194],1
471,463,883,2,2,1,[0.6816319],0
472,213,616,1,1,1,[0.75416136],0
473,723,743,1,1,0,[0.6477768],0
474,148,401,1,1,1,[0.83272064],1
475,511,856,1,2,0,[0.4989439],0
476,268,587,1,2,0,[0.7211835],0
477,620,787,1,1,1,[0.7901866],1
478,22,228,1,2,1,[0.76923406],0
479,63,688,2,2,0,[0.68781257],0
480,109,328,1,1,1,[0.8403128],1
481,342,493,2,2,1,[0.70568234],0
482,478,927,2,2,0,[0.73579603],0
483,606,727,2,2,1,[0.6526418],0
484,131,569,2,2,0,[0.78249156],1
485,16,268,2,1,0,[0.8270256],1
486,105,814,2,2,0,[0.81642914],1
487,436,889,2,2,0,[0.6970018],0
488,442,872,2,1,1,[0.7102962],0
489,337,352,2,2,1,[0.78972894],1
490,135,218,2,1,0,[0.85844254],1
491,24,424,2,1,1,[0.8395031],1
492,983,1048,1,2,0,[0.49834022],0
493,20,100,1,2,1,[0.72110605],0
494,243,414,1,2,0,[0.764427],0
495,66,121,2,2,1,[0.88676333],1
496,52,223,1,1,1,[0.78149575],1
497,406,556,2,2,0,[0.7525429],0
498,17,616,2,1,1,[0.7561391],0
499,134,260,1,1,0,[0.81876373],1
500,105,358,2,2,1,[0.84897405],1
501,183,703,2,2,0,[0.7823454],1
502,923,1000,2,2,0,[0.631807],0
503,55,548,2,1,0,[0.7189216],0
504,83,932,1,2,0,[0.6439483],0
505,886,932,2,2,0,[0.5997839],0
506,108,174,2,2,1,[0.82234305],1
507,634,751,2,2,0,[0.7482274],0
508,156,469,1,1,1,[0.82151276],1
509,929,962,2,1,0,[0.6270155],0
510,287,557,1,2,0,[0.69345975],0
511,3,848,1,2,0,[0.64144063],0
512,695,768,2,2,0,[0.72005725],0
513,55,592,2,2,0,[0.76954836],1
514,71,899,1,2,0,[0.78727096],1
515,229,284,1,2,1,[0.84639287],1
516,45,500,1,1,0,[0.77199876],1
517,600,768,2,2,0,[0.7227536],0
518,465,811,1,2,0,[0.78234833],1
519,158,208,2,2,1,[0.8830143],1
520,321,1005,2,2,0,[0.654165],0
521,96,203,2,2,1,[0.7719217],1
522,11,981,2,2,0,[0.7492976],0
523,104,1013,1,1,0,[0.65353924],0
524,20,354,1,1,1,[0.77938294],1
525,363,407,2,2,1,[0.8876907],1
526,277,442,2,2,0,[0.8511525],1
527,284,709,2,2,0,[0.80814785],1
528,164,507,2,2,0,[0.79293114],1
529,562,860,1,2,0,[0.49096695],0
530,15,643,2,1,1,[0.8547165],1
531,345,576,1,1,0,[0.63711035],0
532,248,293,2,2,1,[0.8035041],1
533,427,436,1,2,1,[0.7868714],1
534,793,924,2,1,0,[0.5670261],0
535,167,1027,1,2,0,[0.65391386],0
536,88,885,1,1,0,[0.67811227],0
537,98,418,1,1,0,[0.79012674],1
538,85,1042,2,2,1,[0.72850573],0
539,601,1028,2,1,0,[0.7270197],0
540,123,375,2,2,1,[0.86949843],1
541,505,816,2,2,0,[0.5991168],0
542,456,773,1,2,0,[0.5964936],0
543,240,382,2,2,1,[0.90320814],1
544,818,1004,2,2,0,[0.6453652],0
545,368,680,1,1,1,[0.6502763],0
546,107,351,1,2,0,[0.8030722],1
547,219,621,2,2,1,[0.8424794],1
548,247,444,1,2,1,[0.8858953],1
549,180,328,1,1,1,[0.8412936],1
550,227,289,2,1,0,[0.8166359],1
551,200,332,1,1,1,[0.8308131],1
552,85,580,2,2,1,[0.8462492],1
553,39,70,1,1,1,[0.74906456],0
554,474,515,1,2,0,[0.7002882],0
555,238,876,2,2,0,[0.67828757],0
556,15,1000,2,2,0,[0.72417575],0
557,126,377,1,1,1,[0.8400224],1
558,112,863,2,2,1,[0.70521796],0
559,64,671,1,2,0,[0.79267573],1
560,258,570,2,1,0,[0.74320686],0
561,802,1049,2,1,0,[0.51670194],0
562,85,773,2,2,1,[0.75508994],0
563,266,619,1,1,1,[0.8691534],1
564,195,212,1,1,1,[0.8142133],1
565,549,1031,1,1,0,[0.49518645],0
566,95,232,1,1,1,[0.8640004],1
567,974,989,2,1,0,[0.5334773],0
568,247,355,1,1,1,[0.8611266],1
569,303,461,2,2,1,[0.8715244],1
570,393,418,1,1,0,[0.731759],0
571,552,779,2,2,1,[0.6005063],0
572,208,468,2,2,1,[0.8855741],1
573,118,602,2,1,0,[0.7597704],0
574,247,452,1,1,1,[0.8613652],1
575,691,969,2,2,0,[0.5835417],0
576,220,541,2,2,1,[0.80191135],1
577,488,931,2,2,0,[0.66925114],0
578,846,1027,1,2,0,[0.5790141],0
579,42,97,1,1,1,[0.77065253],1
580,170,577,2,2,1,[0.90756404],1
581,453,482,2,2,1,[0.68246883],0
582,255,277,2,2,1,[0.8828101],1
583,81,384,1,1,1,[0.8473691],1
584,254,852,2,2,0,[0.67252225],0
585,380,381,2,2,1,[0.7659773],0
586,196,681,1,2,0,[0.722539],0
587,562,911,1,2,0,[0.54033095],0
588,85,763,2,2,1,[0.78436434],1
589,300,900,1,2,0,[0.56861275],0
590,219,1041,2,2,0,[0.7106133],0
591,156,540,1,1,0,[0.7430259],0
592,0,229,1,1,1,[0.7456832],0
593,634,749,2,1,0,[0.6080358],0
594,568,1037,2,2,0,[0.565613],0
595,226,403,2,2,1,[0.77619237],1
596,46,1030,1,1,0,[0.5480858],0
597,515,811,2,2,1,[0.689267],0
598,84,208,1,2,1,[0.8254671],1
599,293,498,2,2,1,[0.8115878],1
600,93,134,2,1,0,[0.79464054],1
601,229,832,1,2,1,[0.8207765],1
602,222,528,1,1,1,[0.87186307],1
603,159,747,2,2,1,[0.7513743],0
604,128,139,2,1,0,[0.7962981],1
605,725,758,1,2,0,[0.6996128],0
606,260,916,1,1,0,[0.73668766],0
607,19,841,2,1,0,[0.6328763],0
608,518,563,2,1,0,[0.77699906],1
609,265,558,2,2,0,[0.7876932],1
610,150,161,1,2,0,[0.7931047],1
611,398,880,1,2,1,[0.74640113],0
612,64,432,1,1,1,[0.6897531],0
613,268,646,1,1,1,[0.84835535],1
614,49,131,2,2,0,[0.83891046],1
615,738,933,1,2,0,[0.706274],0
616,61,329,1,1,1,[0.833743],1
617,428,514,2,2,1,[0.78080946],1
618,37,54,2,2,1,[0.75641817],0
619,172,359,1,2,0,[0.76224315],0
620,523,682,2,2,1,[0.8935619],1
621,215,330,1,1,1,[0.8320315],1
622,121,797,2,2,0,[0.7624631],0
623,36,260,2,1,1,[0.8328855],1
624,3,726,1,1,0,[0.76053095],0
625,335,634,2,2,1,[0.6934509],0
626,142,334,1,1,1,[0.8276039],1
627,18,211,2,1,0,[0.69192183],0
628,85,741,2,2,1,[0.8829694],1
629,229,836,1,1,0,[0.6744518],0
630,481,673,2,2,1,[0.7262213],0
631,109,324,1,1,1,[0.83995265],1
632,581,629,2,2,0,[0.653856],0
633,616,858,1,1,0,[0.6123404],0
634,76,828,1,1,1,[0.6102447],0
635,62,150,1,1,1,[0.77638036],1
636,245,776,1,2,1,[0.84833413],1
637,70,84,1,1,1,[0.7577905],0
638,613,888,2,2,1,[0.73452973],0
639,636,707,2,2,0,[0.82329637],1
640,587,935,2,2,0,[0.56381464],0
641,101,290,1,1,1,[0.8016688],1
642,85,569,2,2,1,[0.8357742],1
643,352,447,2,2,1,[0.7176056],0
644,17,492,2,2,0,[0.73104703],0
645,275,662,1,1,1,[0.8191651],1
646,11,71,2,1,1,[0.8143391],1
647,146,392,2,2,1,[0.7500134],0
648,33,72,2,2,1,[0.8333921],1
649,11,490,2,1,0,[0.8563095],1
650,895,940,1,2,0,[0.683372],0
651,486,935,1,2,0,[0.7154216],0
652,215,405,1,1,1,[0.8310564],1
653,134,148,1,1,1,[0.7853101],1
654,194,270,2,2,1,[0.89466864],1
655,513,988,2,2,0,[0.6448767],0
656,100,225,2,2,1,[0.759567],0
657,52,643,1,1,1,[0.79279345],1
658,364,461,2,2,1,[0.8353766],1
659,0,416,1,1,1,[0.81276363],1
660,622,679,2,2,0,[0.6253114],0
661,461,577,2,2,1,[0.8879225],1
662,584,903,1,2,0,[0.56851643],0
663,692,893,1,2,0,[0.57237554],0
